2025
"Thinking now about our national public lands, such as U.S. forests and national monuments. There are a number of actions which could be taken in the next year or two. For each one, please tell me if you would support or oppose each one.
Reducing funding to the U.S. Forest Service, U.S. Fish and Wildlife Service and other agencies for repairs, firefighting, visitor services, and oversight of those public lands."
,AZ,CO,ID,MT,NM,NV,UT,WY
"Strongly Support",41,29,44,22,30,47,37,50
"Somewhat Support",39,34,63,45,41,49,48,45
"Somewhat Oppose",73,67,57,68,71,67,83,57
"Strongly Oppose",185,183,157,177,171,158,140,158
"DK",1,2,1,1,1,1,4,1
"REF",0,0,1,0,0,0,1,0


Unweighted Absolute

Generated by cwpoll.org
